Wall time,Step,Value
1552778710.7971604,2494031,1.2529091835021973
1552778736.5400088,2495503,1.7693544626235962
1552778737.6078572,2495567,1.5846608877182007
1552778907.560217,2504271,2.3264620304107666
1552779020.4512737,2510415,1.827099084854126
1552779087.820831,2514191,2.0948662757873535
1552779100.5843377,2514895,1.8539844751358032
1552779428.7863495,2533071,2.3453335762023926
1552779556.6423895,2540175,2.099149703979492
1552779589.7314727,2541967,1.6459622383117676
1552779648.7502034,2545231,2.3366177082061768
1552779762.1588342,2551439,2.319715976715088
1552779813.5791037,2553423,1.8141920566558838
1552779819.0438273,2553743,1.876705288887024
1552779838.358429,2554831,1.699878454208374
1552779942.3436344,2560527,2.28857421875
1552780176.13943,2573583,2.213921308517456
1552780259.7607813,2578191,1.4984514713287354
1552780479.3477867,2590479,1.5746195316314697
1552780493.05321,2591247,2.375185966491699
1552780529.704178,2593295,1.9509425163269043
1552780562.3713567,2595087,1.8007323741912842
1552780663.2692356,2600612,2.1091465950012207
1552780674.8731894,2601252,1.747157335281372
1552780681.83131,2601636,1.1682648658752441
1552780701.4272554,2601892,1.5406522750854492
1552780735.8965652,2603876,2.052593231201172
1552780737.9111254,2604004,1.9104294776916504
1552780754.5503907,2604900,1.6869714260101318
1552780761.8291585,2605284,1.8771560192108154
1552780846.874834,2609956,2.1249632835388184
1552781134.46081,2625764,1.335544466972351
1552781236.0782814,2631396,2.1351470947265625
1552781267.5575864,2633060,2.489305019378662
1552781370.596972,2638820,1.8678399324417114
1552781401.8389513,2640548,1.8737328052520752
1552781481.944716,2645028,1.8395299911499023
1552781559.8412244,2649380,2.260361671447754
1552781673.7035737,2654628,1.2841739654541016
1552781730.2198477,2657700,1.6562774181365967
1552781748.0752583,2658724,1.6277308464050293
1552781810.5564556,2662180,1.3350790739059448
1552781999.4057245,2672612,1.686762809753418
1552782008.7920232,2673124,2.4308390617370605
1552782084.4725945,2677220,2.5248794555664062
1552782115.3975935,2678948,1.8642572164535522
1552782271.0007334,2687588,1.629725456237793
1552782279.420608,2688036,1.634209394454956
1552782418.6856098,2695780,1.3063535690307617
1552782447.3919384,2697316,1.8051495552062988
1552782458.910125,2697956,1.9148167371749878
1552782475.3129485,2698852,1.638901948928833
1552782563.1186638,2702820,2.1402599811553955
1552782672.279141,2708900,1.780686616897583
1552782801.3783195,2716004,1.510254979133606
1552782822.032776,2717156,2.0538504123687744
1552782833.3542454,2717796,1.5858004093170166
1552782857.6424801,2719140,2.1442983150482178
1552782984.9650915,2726116,1.964236855506897
1552783066.90183,2730553,1.4304594993591309
1552783182.2546282,2736825,2.0294456481933594
1552783361.903344,2746745,1.1598596572875977
1552783399.3525617,2748857,1.9460856914520264
1552783418.896369,2749945,1.76841402053833
1552783478.7605438,2752441,2.236274003982544
1552783779.082831,2768953,1.348623514175415
1552784003.1323216,2781497,1.9082741737365723
1552784053.5189865,2784313,2.194671154022217
1552784094.8418996,2786553,1.5629273653030396
1552784128.124939,2788473,1.9625318050384521
1552784156.2821956,2790009,1.7796151638031006
1552784192.3494473,2792057,1.928688406944275
1552784275.723674,2796665,1.9022432565689087
1552784305.8945558,2798393,1.7303475141525269
1552784310.3874862,2798649,1.859428882598877
1552784328.0016694,2799609,2.268387794494629
1552784357.875187,2801273,1.5055495500564575
1552784398.4995453,2802681,1.545301914215088
1552784597.0049796,2813625,1.9258532524108887
1552784601.6068246,2813881,1.522773265838623
1552784616.7543406,2814713,1.798635721206665
1552784708.4061413,2819833,1.470570683479309
1552784712.9931583,2820089,2.373500347137451
1552784753.9185972,2822393,1.353764295578003
1552784856.6353922,2827961,1.9308689832687378
1552784865.3946514,2828409,1.8716471195220947
1552784915.6986244,2831225,1.2849922180175781
1552784976.3418565,2834617,1.7843778133392334
1552785021.1132367,2837113,1.5163599252700806
1552785091.7381105,2841017,1.630534052848816
1552785205.9819763,2847225,1.9575408697128296
1552785250.0521076,2849657,1.3253748416900635
1552785320.2612972,2852601,1.6722960472106934
1552785321.6387043,2852665,2.4833648204803467
1552785389.3372872,2856441,1.9544920921325684
1552785486.5972211,2861774,1.404326319694519
1552785514.6205292,2863310,2.187700033187866
1552785571.905631,2866446,1.7399935722351074
1552785588.3002584,2867342,1.5361835956573486
1552785760.179211,2876814,1.7657876014709473
1552785794.8413184,2878734,1.9913932085037231
1552785863.7694438,2882510,2.2449569702148438
1552785923.8967159,2885774,1.8061988353729248
1552786163.465157,2898958,1.7473211288452148
1552786173.8604503,2899534,2.0436768531799316
1552786248.9927578,2902926,2.242305040359497
1552786402.4051635,2911566,2.3843955993652344
1552786444.2517312,2913870,2.140881061553955
1552786563.8669198,2920462,1.0898399353027344
1552786578.1274443,2921230,1.5570971965789795
1552786709.1373608,2928462,2.103339672088623
1552786786.287569,2932814,1.80105721950531
1552786827.4183257,2935054,1.8385930061340332
1552787001.5536194,2944654,1.9862031936645508
1552787011.801444,2945230,1.6270471811294556
1552787044.2810507,2946958,2.4959068298339844
1552787078.3513763,2948878,1.6513926982879639
1552787118.3856707,2951054,1.7725622653961182
1552787184.3491995,2953934,1.4693951606750488
1552787193.692197,2954446,1.801523208618164
1552787225.6429102,2956238,1.734156847000122
1552787353.588656,2963470,1.6008391380310059
1552787372.948821,2964494,1.4828097820281982
1552787444.5483325,2968462,2.5835132598876953
1552787463.970273,2969550,1.6361758708953857
1552787562.8190858,2975054,1.9322991371154785
1552787572.9822235,2975630,2.0996556282043457
1552787791.0656142,2987662,1.5457265377044678
1552787849.9639711,2990947,1.6475026607513428
1552788195.6755877,3009379,2.0360665321350098
1552788220.0117056,3010723,1.8466382026672363
1552788383.6409166,3019747,1.48965585231781
1552788433.3205192,3022499,1.717079997062683
1552788493.991369,3025891,1.632699966430664
1552788501.829296,3026339,1.3960182666778564
1552788525.7204254,3027619,1.3169164657592773
1552788555.3317122,3029283,2.019432544708252
1552788659.3814852,3035043,1.7717905044555664
1552788719.1205618,3038371,1.5326249599456787
1552788787.846995,3042211,1.7719392776489258
1552788795.823734,3042659,1.352766513824463
1552788830.0451326,3044515,2.315364360809326
1552788892.1068504,3047907,1.3195178508758545
1552788897.0739098,3048163,1.443885326385498
1552788911.5827847,3048995,2.1906046867370605
1552788927.8572733,3049891,1.9509680271148682
1552788956.1348836,3051427,2.232245683670044
1552788985.204625,3052195,1.6901817321777344
1552789021.9616847,3054243,1.757218837738037
1552789029.8431172,3054691,1.5235648155212402
1552789046.3659294,3055587,1.6201939582824707
1552789176.785489,3062819,1.729567527770996
1552789189.8025706,3063523,1.8504475355148315
1552789196.2439368,3063907,1.326126217842102
1552789244.2487864,3066531,2.2185821533203125
1552789249.1870399,3066787,2.1103150844573975
1552789264.470788,3067683,1.311518907546997
1552789290.5438845,3069155,1.8574535846710205
1552789418.0822191,3075939,1.6070380210876465
1552789468.4037683,3078691,1.6004303693771362
1552789539.3427286,3082659,1.8228259086608887
1552789557.2350917,3083683,1.8770993947982788
1552789591.711375,3085603,1.375854253768921
1552789817.1448097,3098019,1.8200652599334717
1552789868.936983,3100899,2.2229723930358887
1552789938.6181111,3103971,2.4236817359924316
1552789947.8546588,3104483,1.2442185878753662
1552790075.6202106,3111395,1.488128900527954
1552790098.8421783,3112675,1.9370826482772827
1552790325.2089293,3125048,1.7206742763519287
1552790484.7823975,3133880,1.6090761423110962
1552790836.927724,3152440,2.1807453632354736
